time,env_t,obj_t
00:05:09,21.61,-0.85
00:05:10,21.65,-0.69
00:05:11,21.61,-0.73
00:05:12,21.59,-0.77
00:05:13,21.59,-0.65
00:05:14,21.61,-0.69
00:05:15,21.61,-0.69
00:05:16,21.63,-0.57
00:05:17,21.65,-0.49
00:05:18,21.61,-0.65
00:05:19,21.65,-0.57
00:05:20,21.65,-0.65
00:05:22,21.63,-0.69
00:05:23,21.61,-0.73
00:05:24,21.59,-0.69
00:05:25,21.63,-0.65
00:05:26,21.63,-0.57
00:05:27,21.63,-0.61
00:05:28,21.63,-0.57
00:05:29,21.63,-0.69
00:05:30,21.61,-0.69
00:05:31,21.63,-0.69
00:05:32,21.65,-0.69
00:05:33,21.61,-0.69
00:05:34,21.63,-0.81
00:05:35,21.63,-0.65
00:05:36,21.63,-0.65
00:05:37,21.67,-0.61
00:05:38,21.65,-0.73
00:05:39,21.63,-0.53
00:05:40,21.63,-0.65
00:05:41,21.61,-0.65
00:05:42,21.65,-0.77
00:05:43,21.65,-0.81
00:05:44,21.61,-0.73
00:05:45,21.61,-0.69
00:05:46,21.65,-0.65
00:05:47,21.61,-0.73
00:05:48,21.63,-0.85
00:05:49,21.63,-0.85
00:05:51,21.63,-0.85
00:05:52,21.65,-0.89
00:05:53,21.65,-0.93
00:05:54,21.63,-0.85
00:05:55,21.63,-0.73
00:05:56,21.61,-0.89
00:05:57,21.65,-0.65
00:05:58,21.63,-0.65
00:05:59,21.67,-0.65
00:06:00,21.63,-0.73
00:06:01,21.67,-0.53
00:06:02,21.61,-0.69
00:06:03,21.65,-0.49
00:06:04,21.61,-0.65
00:06:05,21.63,-0.65
00:06:06,21.63,-0.65
00:06:07,21.63,-0.61
00:06:08,21.65,-0.57
00:06:09,21.61,-0.53
00:06:10,21.67,-0.57
00:06:11,21.63,-0.49
00:06:12,21.65,-0.49
00:06:13,21.65,-0.57
00:06:14,21.65,-0.69
00:06:15,21.67,-0.65
00:06:16,21.65,-0.65
00:06:17,21.67,-0.69
00:06:18,21.65,-0.81
00:06:20,21.63,-0.85
00:06:21,21.61,-1.01
00:06:22,21.65,-0.93
00:06:23,21.63,-0.85
00:06:24,21.63,-0.81
00:06:25,21.65,-0.81
00:06:26,21.65,-0.93
00:06:27,21.65,-0.85
00:06:28,21.65,-1.01
00:06:29,21.63,-0.85
00:06:30,21.63,-0.85
00:06:31,21.59,-0.93
00:06:32,21.63,-0.85
00:06:33,21.61,-0.89
00:06:34,21.63,-0.69
00:06:35,21.61,-0.65
00:06:36,21.65,-0.77
00:06:37,21.65,-0.73
00:06:38,21.67,-0.69
00:06:39,21.61,-0.81
00:06:40,21.67,-0.77
00:06:41,21.65,-0.89
00:06:42,21.63,-1.01
00:06:43,21.63,-0.89
00:06:44,21.61,-0.85
00:06:45,21.63,-0.89
00:06:46,21.65,-0.77
00:06:47,21.63,-0.65
00:06:49,21.65,-0.49
00:06:50,21.61,-0.61
00:06:51,21.65,-0.57
00:06:52,21.65,-0.69
00:06:53,21.63,-0.57
00:06:54,21.65,-0.53
00:06:55,21.61,-0.65
00:06:56,21.65,-0.65
00:06:57,21.61,-0.69
00:06:58,21.67,-0.57
00:06:59,21.63,-0.61
00:07:00,21.65,-0.57
00:07:01,21.61,-0.61
00:07:02,21.65,-0.53
00:07:03,21.63,-0.61
